complexity,loss,equation,score,sympy_format,lambda_format
1,0.012634844,0.23407498,0.0,0.234074980000000,PySRFunction(X=>0.234074980000000)
4,0.011367605,square(nn_has_residual - 0.46017683),0.0352302501913287,(nn_has_residual - 1*0.46017683)**2,PySRFunction(X=>(nn_has_residual - 1*0.46017683)**2)
5,0.0110801505,(-1.7860895 / nn_total_layers) + 0.2821843,0.02561237927445663,0.2821843 - 1.7860895/nn_total_layers,PySRFunction(X=>0.2821843 - 1.7860895/nn_total_layers)
6,0.011040778,sqrt((-0.781359 / nn_total_layers) + 0.077375665),0.003559754878903567,sqrt(0.077375665 - 0.781359/nn_total_layers),PySRFunction(X=>sqrt(0.077375665 - 0.781359/nn_total_layers))
7,0.010936674,sqrt((log(nn_total_layers) + nn_has_residual) / 75.825195),0.009473780548522631,sqrt(0.013188228530108*nn_has_residual + 0.013188228530108*log(nn_total_layers)),PySRFunction(X=>sqrt(0.013188228530108*nn_has_residual + 0.013188228530108*log(nn_total_layers)))
8,0.010840977,sqrt(((-0.7849687 + nn_has_residual) / nn_total_layers) + 0.077375665),0.00878860773055038,sqrt(0.077375665 + (nn_has_residual - 0.7849687)/nn_total_layers),PySRFunction(X=>sqrt(0.077375665 + (nn_has_residual - 0.7849687)/nn_total_layers))
9,0.010533317,(0.23486106 - (0.84307986 ^ nn_total_layers)) / (0.79435027 ^ nn_has_residual),0.028789839810760578,(0.23486106 - 0.84307986**nn_total_layers)/(0.79435027**nn_has_residual),PySRFunction(X=>(0.23486106 - 0.84307986**nn_total_layers)/(0.79435027**nn_has_residual))
12,0.010460794,(0.23418757 - (0.8423585 ^ nn_total_layers)) ^ sqrt((0.9175237 ^ nn_has_residual) ^ nn_max_depth),0.0023029724376507246,(0.23418757 - 0.8423585**nn_total_layers)**(sqrt((0.9175237**nn_has_residual)**nn_max_depth)),PySRFunction(X=>(0.23418757 - 0.8423585**nn_total_layers)**(sqrt((0.9175237**nn_has_residual)**nn_max_depth)))
13,0.010460225,(0.23375607 - (0.8420279 ^ nn_total_layers)) ^ sqrt(sqrt((0.844029 ^ nn_has_residual) ^ nn_max_depth)),5.439505600952427e-05,(0.23375607 - 0.8420279**nn_total_layers)**(((0.844029**nn_has_residual)**nn_max_depth)**(1/4)),PySRFunction(X=>(0.23375607 - 0.8420279**nn_total_layers)**(((0.844029**nn_has_residual)**nn_max_depth)**(1/4)))
14,0.010458005,(0.23418757 - (0.8423585 ^ nn_total_layers)) ^ sqrt((0.9175237 ^ nn_has_residual) ^ (nn_max_depth - 0.21294925)),0.00021225505296911342,(0.23418757 - 0.8423585**nn_total_layers)**(sqrt((0.9175237**nn_has_residual)**(nn_max_depth - 0.21294925))),PySRFunction(X=>(0.23418757 - 0.8423585**nn_total_layers)**(sqrt((0.9175237**nn_has_residual)**(nn_max_depth - 0.21294925))))
16,0.0104474,sqrt((log(nn_total_layers) + (-0.7469901 ^ (nn_max_depth + nn_has_residual))) / (69.703835 / sqrt(nn_has_residual + 0.76419914))),0.0005072851212253186,0.119776512447536*sqrt((-0.7469901**(nn_has_residual + nn_max_depth) + log(nn_total_layers))*sqrt(nn_has_residual + 0.76419914)),PySRFunction(X=>0.119776512447536*sqrt((-0.7469901**(nn_has_residual + nn_max_depth) + log(nn_total_layers))*sqrt(nn_has_residual + 0.76419914)))
17,0.010381234,sqrt(((-0.9471324 ^ square(nn_max_depth + nn_has_residual)) + log(nn_total_layers)) / (69.703835 / sqrt(nn_has_residual + 0.76419914))),0.006353390488198205,0.119776512447536*sqrt((-0.9471324**((nn_has_residual + nn_max_depth)**2) + log(nn_total_layers))*sqrt(nn_has_residual + 0.76419914)),PySRFunction(X=>0.119776512447536*sqrt((-0.9471324**((nn_has_residual + nn_max_depth)**2) + log(nn_total_layers))*sqrt(nn_has_residual + 0.76419914)))
18,0.010370396,sqrt(((log(nn_total_layers) + (-0.941477 ^ square(nn_max_depth))) / (70.3373 - ((nn_has_residual + nn_has_residual) ^ nn_max_depth))) ^ 1.0510317),0.001044544547625418,sqrt(((-0.941477**(nn_max_depth**2) + log(nn_total_layers))/(70.3373 - (2*nn_has_residual)**nn_max_depth))**1.0510317),PySRFunction(X=>sqrt(((-0.941477**(nn_max_depth**2) + log(nn_total_layers))/(70.3373 - (2*nn_has_residual)**nn_max_depth))**1.0510317))
20,0.010345323,sqrt(((log(nn_total_layers) + (-0.95163995 ^ square(nn_max_depth))) / (69.62824 - ((nn_has_residual + nn_has_residual) ^ nn_max_depth))) ^ 1.1893511) + 0.03970911,0.0012103375337002105,sqrt(((-0.95163995**(nn_max_depth**2) + log(nn_total_layers))/(69.62824 - (2*nn_has_residual)**nn_max_depth))**1.1893511) + 0.03970911,PySRFunction(X=>sqrt(((-0.95163995**(nn_max_depth**2) + log(nn_total_layers))/(69.62824 - (2*nn_has_residual)**nn_max_depth))**1.1893511) + 0.03970911)
21,0.01031917,square(square(abs(0.47004464 - nn_has_residual) ^ (0.47767806 ^ (nn_total_layers ^ (-1.9632957 / square((1.0131115 ^ nn_total_layers) - (nn_total_layers * 0.37897995))))))),0.0025312030605828015,Abs(nn_has_residual - 0.47004464)**(4*0.47767806**(nn_total_layers**(-1.9632957/(1.0131115**nn_total_layers - 0.37897995*nn_total_layers)**2))),PySRFunction(X=>Abs(nn_has_residual - 0.47004464)**(4*0.47767806**(nn_total_layers**(-1.9632957/(1.0131115**nn_total_layers - 0.37897995*nn_total_layers)**2))))
23,0.010224859,square(square(abs(0.47004464 - nn_has_residual) ^ (0.47767806 ^ (nn_total_layers ^ (-1.9632957 / square((1.0131115 ^ nn_total_layers) - ((nn_total_layers + -1.9863329) * 0.37897995))))))),0.004590709179859953,Abs(nn_has_residual - 0.47004464)**(4*0.47767806**(nn_total_layers**(-1.9632957/(1.0131115**nn_total_layers - 0.37897995*(nn_total_layers - 1.9863329))**2))),PySRFunction(X=>Abs(nn_has_residual - 0.47004464)**(4*0.47767806**(nn_total_layers**(-1.9632957/(1.0131115**nn_total_layers - 0.37897995*(nn_total_layers - 1.9863329))**2))))
24,0.010198496,square(square(abs(nn_has_residual - 0.47004464) ^ (0.47767806 / sqrt(nn_total_layers ^ (-1.7247214 / square((1.0131115 ^ nn_total_layers) - ((nn_total_layers * 0.37897995) - 1.1815693))))))),0.0025816536648661124,Abs(nn_has_residual - 0.47004464)**(1.91071224/sqrt(nn_total_layers**(-1.7247214/(1.0131115**nn_total_layers - 0.37897995*nn_total_layers + 1.1815693)**2))),PySRFunction(X=>Abs(nn_has_residual - 0.47004464)**(1.91071224/sqrt(nn_total_layers**(-1.7247214/(1.0131115**nn_total_layers - 0.37897995*nn_total_layers + 1.1815693)**2))))
26,0.010105026,square(square(abs(nn_has_residual - 0.47004464) ^ (0.47767806 / ((square(nn_max_depth) - -2.2984264) ^ (-1.7247214 / square(((0.37897995 * nn_total_layers) - 1.1815693) - (1.0131115 ^ nn_total_layers))))))),0.004603667300961525,Abs(nn_has_residual - 1*0.47004464)**(1.91071224*(nn_max_depth**2 - 1*(-2.2984264))**(1.7247214/(-1.0131115**nn_total_layers + 0.37897995*nn_total_layers - 1*1.1815693)**2)),PySRFunction(X=>Abs(nn_has_residual - 1*0.47004464)**(1.91071224*(nn_max_depth**2 - 1*(-2.2984264))**(1.7247214/(-1.0131115**nn_total_layers + 0.37897995*nn_total_layers - 1*1.1815693)**2)))
