,corr,n,abs_corr
prm__steps_per_epoch,0.6409117475160725,59,0.6409117475160725
prm__bg_iou_thresh,0.4220633299284985,89,0.4220633299284985
prm__iou_thresh,-0.257107864578777,70,0.257107864578777
prm__fg_iou_thresh,0.22805583929179435,89,0.22805583929179435
prm__nms_thresh,0.20296935155659826,188,0.20296935155659826
prm__lr,0.20118783818766509,5980,0.20118783818766509
prm__attention_dropout,-0.1863090403945725,179,0.1863090403945725
prm__tie_weights,-0.14300718730344833,170,0.14300718730344833
prm__weight_decay,0.1419783766988866,198,0.1419783766988866
prm__patch_size,-0.13597037731750328,88,0.13597037731750328
prm__score_thresh,-0.1281878900699824,188,0.1281878900699824
prm__neg_to_pos_ratio,0.12214154492170413,70,0.12214154492170413
prm__beta1,-0.0869501932759787,113,0.0869501932759787
prm__norm_eps,0.08416700568024799,150,0.08416700568024799
prm__lr_schedule,-0.08247882802993708,110,0.08247882802993708
prm__topk_candidates,-0.08001125810121193,153,0.08001125810121193
prm__dropout_aux,0.07122351332877648,76,0.07122351332877648
prm__beta2,0.06678023850793076,101,0.06678023850793076
prm__momentum,0.059815587266641684,5859,0.059815587266641684
prm__pretrained,0.054551938049066204,188,0.054551938049066204
prm__batch,0.05427435341285721,5980,0.05427435341285721
prm__norm_momentum,0.04660204186196281,104,0.04660204186196281
prm__detections_per_img,0.02517324827213322,153,0.02517324827213322
prm__dropout,-0.015333169532029024,2564,0.015333169532029024
prm__stochastic_depth_prob,-0.005141160218053402,137,0.005141160218053402
