,corr,n,abs_corr
prm__norm_momentum,0.20883237361268076,142,0.20883237361268076
prm__weight_decay,0.1547334222633973,311,0.1547334222633973
prm__lr_schedule,-0.14026992472371988,123,0.14026992472371988
prm__norm_std,-0.1300895208256647,194,0.1300895208256647
prm__warmup_epochs,0.11469753325448062,93,0.11469753325448062
prm__batch_size,-0.10833653489249147,50,0.10833653489249147
prm__batch,-0.10330903699879834,75934,0.10330903699879834
prm__patch_size,-0.09797765397980064,218,0.09797765397980064
prm__mixup_alpha,-0.0896153746229232,93,0.0896153746229232
prm__norm_eps,-0.08801050245092044,336,0.08801050245092044
prm__attention_dropout,-0.07052237753866075,516,0.07052237753866075
prm__dropout_aux,-0.05846581152080603,187,0.05846581152080603
prm__momentum,0.04468248460303306,75889,0.04468248460303306
prm__lr,0.033639422717967736,75934,0.033639422717967736
prm__epoch,-0.018280794867652723,5680,0.018280794867652723
prm__dropout,-0.007223074125228654,65626,0.007223074125228654
prm__stochastic_depth_prob,0.003381929553641148,492,0.003381929553641148
