,corr,n,abs_corr
prm__bg_iou_thresh,0.4220633299284985,89,0.4220633299284985
prm__norm_eps,0.2680955296999388,70,0.2680955296999388
prm__iou_thresh,-0.257107864578777,70,0.257107864578777
prm__fg_iou_thresh,0.22805583929179435,89,0.22805583929179435
prm__nms_thresh,0.20296935155659826,188,0.20296935155659826
prm__batch,-0.16271430516946842,188,0.16271430516946842
prm__norm_momentum,0.14754614644388067,70,0.14754614644388067
prm__score_thresh,-0.1281878900699824,188,0.1281878900699824
prm__neg_to_pos_ratio,0.12214154492170413,70,0.12214154492170413
prm__topk_candidates,-0.08001125810121193,153,0.08001125810121193
prm__pretrained,0.054551938049066204,188,0.054551938049066204
prm__detections_per_img,0.02517324827213322,153,0.02517324827213322
prm__momentum,-0.012540031343307098,188,0.012540031343307098
prm__lr,0.001810525156141048,188,0.001810525156141048
