,corr,n,abs_corr
prm__lr,0.18517269413768758,54469,0.18517269413768758
prm__patch_size,-0.12201765141032998,183,0.12201765141032998
prm__norm_eps,-0.12148550249260943,255,0.12148550249260943
prm__lr_schedule,-0.1136324630417369,115,0.1136324630417369
prm__batch,-0.06124277670128799,54469,0.06124277670128799
prm__weight_decay,0.05503502261695565,246,0.05503502261695565
prm__attention_dropout,-0.05409722307592076,417,0.05409722307592076
prm__mixup_alpha,0.036362457868809955,57,0.036362457868809955
prm__momentum,0.031147792765703654,54457,0.031147792765703654
prm__warmup_epochs,0.025343531241897848,57,0.025343531241897848
prm__stochastic_depth_prob,0.018960173441769777,371,0.018960173441769777
prm__epoch,-0.0184232230295325,973,0.0184232230295325
prm__norm_momentum,0.01799803219232296,118,0.01799803219232296
prm__dropout_aux,-0.01078295606086758,152,0.01078295606086758
prm__norm_std,-0.008552932517655086,137,0.008552932517655086
prm__dropout,0.0009034305487361403,46221,0.0009034305487361403
