,corr,n,abs_corr
prm__lr,0.22652629169309724,3503,0.22652629169309724
prm__attention_dropout,-0.1863090403945725,179,0.1863090403945725
prm__weight_decay,0.1419783766988866,198,0.1419783766988866
prm__patch_size,-0.13597037731750328,88,0.13597037731750328
prm__lr_schedule,-0.08247882802993708,110,0.08247882802993708
prm__batch,-0.07839169468162567,3503,0.07839169468162567
prm__norm_eps,-0.07658152095574976,80,0.07658152095574976
prm__dropout_aux,0.07122351332877648,76,0.07122351332877648
prm__momentum,0.04856898580438242,3496,0.04856898580438242
prm__dropout,-0.006178224012506795,1713,0.006178224012506795
prm__stochastic_depth_prob,-0.005141160218053402,137,0.005141160218053402
