,corr,n,abs_corr
prm__batch,-0.17464114671397893,17016,0.17464114671397893
prm__lr,0.09007875978261119,17016,0.09007875978261119
prm__momentum,-0.05016947759064262,17010,0.05016947759064262
prm__dropout,0.026324864462378163,15442,0.026324864462378163
prm__epoch,-0.019846871069488237,4037,0.019846871069488237
