,corr,n,abs_corr
prm__batch,-0.36798607548380907,158,0.36798607548380907
prm__steps_per_epoch,0.25250582160575075,84,0.25250582160575075
prm__beta1,-0.1930091138633721,143,0.1930091138633721
prm__beta2,0.05236537244425876,129,0.05236537244425876
prm__lr,0.00016886045813029296,158,0.00016886045813029296
