param_a,param_b,corr,n,abs_corr
prm__attention_dropout,prm__patch_size,0.10050392178634969,4862,0.10050392178634969
prm__norm_eps,prm__neg_to_pos_ratio,-0.0982308431145881,3380,0.0982308431145881
prm__lr,prm__lr_schedule,-0.09426791987193836,5439,0.09426791987193836
prm__weight_decay,prm__warmup_epochs,-0.0916049439212882,2422,0.0916049439212882
prm__momentum,prm__stochastic_depth_prob,0.09145170105226942,7803,0.09145170105226942
prm__norm_eps,prm__nms_thresh,0.0903430130040735,3380,0.0903430130040735
prm__momentum,prm__patch_size,0.08994526301060314,4862,0.08994526301060314
prm__score_thresh,prm__neg_to_pos_ratio,-0.0897809935521942,3380,0.0897809935521942
prm__lr,prm__pretrained,-0.08878107443152015,8645,0.08878107443152015
prm__nms_thresh,prm__topk_candidates,-0.08872384230651074,7479,0.08872384230651074
prm__lr,prm__topk_candidates,-0.08750375457247786,7479,0.08750375457247786
prm__lr,prm__bg_iou_thresh,0.08728070948462988,3901,0.08728070948462988
prm__random_beta,prm__random_sigma,-0.08614207734095372,863,0.08614207734095372
prm__dropout,prm__patch_size,-0.08553439054634143,4862,0.08553439054634143
prm__lr,prm__iou_thresh,0.08436380250502701,3380,0.08436380250502701
prm__momentum,prm__lr_schedule,0.08338343541184179,5439,0.08338343541184179
prm__batch,prm__random_sigma,-0.08270995512813321,863,0.08270995512813321
prm__momentum,prm__fg_iou_thresh,-0.08248038168626255,3901,0.08248038168626255
prm__detections_per_img,prm__topk_candidates,-0.08234262902188678,7479,0.08234262902188678
prm__dropout,prm__norm_momentum,0.08233348203833438,2163,0.08233348203833438
prm__momentum,prm__bg_iou_thresh,-0.08142421315752964,3901,0.08142421315752964
prm__score_thresh,prm__iou_thresh,-0.08128702940922819,3380,0.08128702940922819
prm__dropout,prm__weight_decay,-0.0806256079511762,1303,0.0806256079511762
prm__lr,prm__center_sampling_radius,0.07901406197600032,1364,0.07901406197600032
prm__batch,prm__tie_weights,-0.07819977808131134,7696,0.07819977808131134
prm__momentum,prm__mixup_alpha,-0.07571769202175355,2029,0.07571769202175355
prm__lr,prm__norm_eps,-0.07541305156577004,8235,0.07541305156577004
prm__momentum,prm__nms_thresh,0.07410557457470719,8645,0.07410557457470719
prm__detections_per_img,prm__nms_thresh,-0.070044662320306,7479,0.070044662320306
prm__batch,prm__iou_thresh,0.06899875434271871,3380,0.06899875434271871
prm__center_sampling_radius,prm__pretrained,-0.0683844266038202,1364,0.0683844266038202
prm__lr,prm__dropout_aux,0.06827597199985472,4191,0.06827597199985472
prm__batch,prm__norm_eps,0.06805653239057825,8235,0.06805653239057825
prm__norm_momentum,prm__score_thresh,0.06799703512731886,3380,0.06799703512731886
prm__lr,prm__epoch,-0.06785066957591586,9606,0.06785066957591586
prm__batch,prm__norm_momentum,-0.0652798141185626,5543,0.0652798141185626
prm__nms_thresh,prm__fg_iou_thresh,0.06486224038229044,3901,0.06486224038229044
prm__batch,prm__positive_fraction,-0.0637048051728623,1166,0.0637048051728623
prm__pretrained,prm__batch_size_per_image,-0.06336603677642615,1166,0.06336603677642615
prm__nms_thresh,prm__pretrained,0.062409002359461646,8645,0.062409002359461646
prm__batch,prm__batch_size,0.06106653534694952,871,0.06106653534694952
prm__lr,prm__beta1,-0.05781990244825788,10311,0.05781990244825788
prm__norm_eps,prm__topk_candidates,-0.05737757823013013,3380,0.05737757823013013
prm__batch,prm__nms_thresh,0.05683293018452648,8645,0.05683293018452648
prm__score_thresh,prm__bg_iou_thresh,-0.05432652921461174,3901,0.05432652921461174
prm__center_sampling_radius,prm__nms_thresh,-0.05351158693697572,1364,0.05351158693697572
prm__batch,prm__weight_decay,-0.05308014509628275,9951,0.05308014509628275
prm__batch,prm__score_thresh,-0.052991351414815084,8645,0.052991351414815084
prm__topk_candidates,prm__bg_iou_thresh,-0.052915980525384876,2735,0.052915980525384876
prm__batch,prm__warmup_epochs,-0.052760573796319016,2422,0.052760573796319016
prm__dropout,prm__tie_weights,-0.05260663153788977,7696,0.05260663153788977
prm__momentum,prm__weight_decay,0.05171743560308254,9558,0.05171743560308254
prm__detections_per_img,prm__neg_to_pos_ratio,-0.05143602459377283,3380,0.05143602459377283
prm__detections_per_img,prm__pretrained,-0.051055995117760836,7479,0.051055995117760836
prm__weight_decay,prm__lr_schedule,-0.050996739299779686,5439,0.050996739299779686
prm__momentum,prm__norm_eps,0.05024372743631769,8235,0.05024372743631769
prm__momentum,prm__dropout_aux,0.05012736877448453,4191,0.05012736877448453
prm__lr,prm__nms_thresh,0.04974679424989487,8645,0.04974679424989487
prm__score_thresh,prm__batch_size_per_image,0.046717560439318864,1166,0.046717560439318864
prm__lr,prm__neg_to_pos_ratio,0.044543305621404364,3380,0.044543305621404364
prm__lr,prm__norm_std,-0.044212178866480684,2692,0.044212178866480684
prm__lr,prm__tie_weights,-0.043633462997741575,7696,0.043633462997741575
prm__batch,prm__mixup_alpha,0.042781177837823633,2422,0.042781177837823633
prm__lr,prm__score_thresh,0.04268505616517303,8645,0.04268505616517303
prm__center_sampling_radius,prm__score_thresh,-0.041661767057413535,1364,0.041661767057413535
prm__nms_thresh,prm__positive_fraction,-0.03959960002090481,1166,0.03959960002090481
prm__batch,prm__batch_size_per_image,-0.0394929581339034,1166,0.0394929581339034
prm__detections_per_img,prm__score_thresh,0.039060076320844746,7479,0.039060076320844746
prm__momentum,prm__epoch,-0.03887573907604611,9606,0.03887573907604611
prm__lr,prm__beta2,0.03876384140708622,9378,0.03876384140708622
prm__batch,prm__neg_to_pos_ratio,-0.03583401403341087,3380,0.03583401403341087
prm__batch,prm__pretrained,-0.0338854639828661,8645,0.0338854639828661
prm__beta1,prm__steps_per_epoch,0.0323562221917031,5466,0.0323562221917031
prm__topk_candidates,prm__fg_iou_thresh,-0.031108504845382225,2735,0.031108504845382225
prm__norm_eps,prm__detections_per_img,0.03029426314907357,3380,0.03029426314907357
prm__center_sampling_radius,prm__topk_candidates,0.030217812116526525,1364,0.030217812116526525
prm__momentum,prm__iou_thresh,-0.030143925698835835,3380,0.030143925698835835
prm__nms_thresh,prm__score_thresh,0.029987379503768993,8645,0.029987379503768993
prm__momentum,prm__pretrained,-0.0279224646564669,8645,0.0279224646564669
prm__norm_eps,prm__norm_momentum,0.02782693656898824,5543,0.02782693656898824
prm__score_thresh,prm__fg_iou_thresh,-0.027740735917094823,3901,0.027740735917094823
prm__batch,prm__momentum,0.027497934355066287,567835,0.027497934355066287
prm__momentum,prm__score_thresh,-0.024537097655868353,8645,0.024537097655868353
prm__dropout,prm__norm_eps,-0.02339597233009924,2164,0.02339597233009924
prm__lr,prm__stochastic_depth_prob,0.02104104365235848,7803,0.02104104365235848
prm__lr,prm__patch_size,-0.020059721606059348,4862,0.020059721606059348
prm__batch,prm__detections_per_img,0.019326385012370557,7479,0.019326385012370557
prm__batch,prm__stochastic_depth_prob,0.0181543942015895,7803,0.0181543942015895
prm__momentum,prm__tie_weights,0.018014490159512918,7696,0.018014490159512918
prm__dropout,prm__epoch,-0.017696495818966054,9490,0.017696495818966054
prm__lr,prm__attention_dropout,-0.01669699314221682,9973,0.01669699314221682
prm__momentum,prm__norm_momentum,-0.01630791183319235,5543,0.01630791183319235
prm__nms_thresh,prm__bg_iou_thresh,0.01576602407164553,3901,0.01576602407164553
prm__momentum,prm__attention_dropout,-0.015432813615363944,9973,0.015432813615363944
prm__momentum,prm__random_beta,0.015238394801123765,863,0.015238394801123765
prm__batch,prm__dropout,-0.014848222739610473,374503,0.014848222739610473
prm__batch,prm__bg_iou_thresh,0.01450705606207604,3901,0.01450705606207604
prm__stochastic_depth_prob,prm__attention_dropout,-0.013975555029910238,5111,0.013975555029910238
prm__nms_thresh,prm__batch_size_per_image,-0.01395721781770044,1166,0.01395721781770044
prm__detections_per_img,prm__fg_iou_thresh,-0.013348397800527285,2735,0.013348397800527285
prm__pretrained,prm__score_thresh,-0.013050920321413828,8645,0.013050920321413828
prm__pretrained,prm__positive_fraction,-0.011646466171616372,1166,0.011646466171616372
prm__weight_decay,prm__mixup_alpha,-0.011232611764120978,2422,0.011232611764120978
prm__detections_per_img,prm__iou_thresh,0.009665442997664957,3380,0.009665442997664957
prm__batch,prm__norm_std,-0.009433223761626724,2692,0.009433223761626724
prm__lr,prm__warmup_epochs,0.008592532474788604,2422,0.008592532474788604
prm__lr,prm__dropout,0.008559996378771735,374503,0.008559996378771735
prm__norm_momentum,prm__neg_to_pos_ratio,-0.007977601123293295,3380,0.007977601123293295
prm__batch,prm__epoch,-0.006935740792514455,9606,0.006935740792514455
prm__dropout,prm__dropout_aux,0.005200199532437365,4191,0.005200199532437365
prm__score_thresh,prm__topk_candidates,0.004666639434322983,7479,0.004666639434322983
prm__nms_thresh,prm__iou_thresh,0.004493084811038322,3380,0.004493084811038322
prm__dropout,prm__attention_dropout,0.0037987621085096594,9973,0.0037987621085096594
prm__batch,prm__attention_dropout,-0.0028790060940105658,9973,0.0028790060940105658
prm__momentum,prm__dropout,-0.002199477029708433,374503,0.002199477029708433
prm__momentum,prm__neg_to_pos_ratio,-0.002141698437035566,3380,0.002141698437035566
prm__momentum,prm__warmup_epochs,-0.0015819117352384889,2029,0.0015819117352384889
prm__batch_size_per_image,prm__fg_iou_thresh,0.0015406881068533633,1166,0.0015406881068533633
