,corr,n,abs_corr
prm__lr,0.3432729453332094,1331,0.3432729453332094
prm__batch,-0.3187902684566658,1331,0.3187902684566658
prm__momentum,0.05622748129517527,1331,0.05622748129517527
prm__dropout,-0.013143142566641957,671,0.013143142566641957
