,corr,n,abs_corr
prm__batch,-0.36430429894547367,1831,0.36430429894547367
prm__momentum,0.016726671979464997,1831,0.016726671979464997
prm__lr,-0.00850094794820913,1831,0.00850094794820913
prm__dropout,0.005994536510453416,902,0.005994536510453416
