dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
imagenette,accuracy_epoch_5,nn_total_layers,13783,0.143732,0.0,0.067099,0.0,0.067099,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_has_residual,13783,0.071339,0.0,-0.067639,0.0,0.067639,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_has_attention,13783,0.066437,0.0,-0.066024,0.0,0.066024,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_flops,13783,0.050134,0.0,0.116942,0.0,0.116942,0.0,True,0.0,True
imagenette,accuracy_epoch_5,prm__momentum,13879,0.018306,0.07206,0.009261,0.27531,0.009261,0.08901529411764705,False,0.3132837931034483,False
imagenette,accuracy_epoch_5,prm__dropout,10278,0.011888,0.79914,0.001152,0.907035,0.001152,0.79914,False,0.9312226000000001,False
imagenette,accuracy_epoch_50,nn_total_layers,620,0.219095,0.0,0.300411,0.0,0.300411,0.0,True,0.0,True
imagenette,accuracy_epoch_50,prm__batch,639,0.20886,0.0,-0.030196,0.44607,0.030196,0.0,True,0.49302473684210524,False
imagenette,accuracy_epoch_50,nn_has_attention,620,0.208343,0.0,-0.190253,2e-06,0.190253,0.0,True,3.637795275590551e-06,True
imagenette,accuracy_epoch_50,nn_dropout_count,620,0.206752,0.0,0.085072,0.034187,0.085072,0.0,True,0.04564853757225434,True
imagenette,accuracy_epoch_50,nn_flops,620,0.195669,0.0,0.327881,0.0,0.327881,0.0,True,0.0,True
imagenette,accuracy_epoch_50,prm__lr,639,0.175166,0.0,0.342317,0.0,0.342317,0.0,True,0.0,True
imagenette,accuracy_epoch_50,nn_total_params,620,0.154683,0.0,0.173266,1.4e-05,0.173266,0.0,True,2.45e-05,True
imagenette,accuracy_epoch_50,nn_max_depth,620,0.120934,1e-06,0.086631,0.031021,0.086631,1.4528301886792452e-06,True,0.041661924418604654,True
imagenette,accuracy_epoch_50,prm__dropout,368,0.063374,0.789288,0.002146,0.967269,0.002146,0.7927196869565217,False,0.9736408956521739,False
imagenette,accuracy_epoch_50,prm__momentum,639,0.063053,0.516301,0.036138,0.361757,0.036138,0.5496107419354839,False,0.4056595485436893,False
imagenette,accuracy_epoch_50,nn_has_residual,620,0.059949,0.362582,0.047531,0.237283,0.047531,0.4085680097560976,False,0.274537725,False
mnist,accuracy_epoch_1,prm__batch,21395,0.364289,0.0,-0.329221,0.0,0.329221,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_total_params,21301,0.185172,0.0,0.193557,0.0,0.193557,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_dropout_count,21301,0.177499,0.0,0.18134,0.0,0.18134,0.0,True,0.0,True
mnist,accuracy_epoch_1,prm__lr,21395,0.164787,0.0,0.359819,0.0,0.359819,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_total_layers,21301,0.085767,0.0,0.112545,0.0,0.112545,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_has_residual,21301,0.085014,0.0,-0.071108,0.0,0.071108,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_max_depth,21301,0.074901,0.0,-0.071762,0.0,0.071762,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_flops,21301,0.062575,0.0,0.133198,0.0,0.133198,0.0,True,0.0,True
mnist,accuracy_epoch_1,prm__momentum,21395,0.032252,0.0,0.026549,0.000103,0.026549,0.0,True,0.00016994999999999998,True
mnist,accuracy_epoch_1,nn_has_attention,21301,0.02979,0.0,-0.03273,2e-06,0.03273,0.0,True,3.637795275590551e-06,True
mnist,accuracy_epoch_1,prm__dropout,16527,0.021655,3.6e-05,0.012498,0.108138,0.012498,5.101840490797546e-05,True,0.13502636756756756,False
mnist,accuracy_epoch_5,nn_dropout_count,16467,0.40439,0.0,0.390802,0.0,0.390802,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_total_params,16467,0.395081,0.0,0.376473,0.0,0.376473,0.0,True,0.0,True
mnist,accuracy_epoch_5,prm__batch,16547,0.194121,0.0,-0.115835,0.0,0.115835,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_max_depth,16467,0.176115,0.0,-0.250779,0.0,0.250779,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_total_layers,16467,0.171785,0.0,0.136399,0.0,0.136399,0.0,True,0.0,True
mnist,accuracy_epoch_5,prm__lr,16547,0.164686,0.0,0.417153,0.0,0.417153,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_has_residual,16467,0.125562,0.0,-0.094189,0.0,0.094189,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_flops,16467,0.092088,0.0,0.193725,0.0,0.193725,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_has_attention,16467,0.059677,0.0,-0.061851,0.0,0.061851,0.0,True,0.0,True
mnist,accuracy_epoch_5,prm__momentum,16547,0.033294,0.0,0.041466,0.0,0.041466,0.0,True,0.0,True
mnist,accuracy_epoch_5,prm__dropout,12826,0.033169,0.0,0.035739,5.2e-05,0.035739,0.0,True,8.897777777777778e-05,True
mnist,accuracy_epoch_50,prm__lr,464,0.211595,0.0,0.501702,0.0,0.501702,0.0,True,0.0,True
mnist,accuracy_epoch_50,nn_total_layers,448,0.165443,0.0,0.236381,0.0,0.236381,0.0,True,0.0,True
mnist,accuracy_epoch_50,nn_flops,448,0.16432,0.0,0.294242,0.0,0.294242,0.0,True,0.0,True
mnist,accuracy_epoch_50,nn_has_attention,448,0.158448,0.0,-0.214361,5e-06,0.214361,0.0,True,8.884615384615385e-06,True
mnist,accuracy_epoch_50,nn_max_depth,448,0.15671,0.0,0.064545,0.172644,0.064545,0.0,True,0.20557094845360824,False
mnist,accuracy_epoch_50,prm__dropout,237,0.11597,0.22575,-0.066916,0.30496,0.066916,0.2647119289340102,False,0.3453223529411765,False
mnist,accuracy_epoch_50,nn_dropout_count,448,0.108239,0.013638,0.13155,0.005291,0.13155,0.017798745762711867,True,0.007735575949367089,True
mnist,accuracy_epoch_50,nn_total_params,448,0.097949,0.068272,0.224868,2e-06,0.224868,0.08478941935483872,False,3.637795275590551e-06,True
mnist,accuracy_epoch_50,prm__batch,464,0.091768,0.13077,-0.117963,0.010989,0.117963,0.15906173684210526,False,0.015573368098159509,True
mnist,accuracy_epoch_50,nn_has_residual,448,0.086689,0.067413,0.153136,0.001148,0.153136,0.08417515135135135,False,0.0017740800000000001,True
mnist,accuracy_epoch_50,prm__momentum,464,0.080098,0.293874,0.079077,0.088859,0.079077,0.33773579104477613,False,0.11216627868852459,False
places365,accuracy_epoch_1,prm__batch,1705,0.265906,0.0,-0.224938,0.0,0.224938,0.0,True,0.0,True
places365,accuracy_epoch_1,prm__lr,1705,0.24613,0.0,0.441434,0.0,0.441434,0.0,True,0.0,True
places365,accuracy_epoch_1,nn_total_layers,1699,0.08774,0.0,0.091799,0.000151,0.091799,0.0,True,0.0002473829787234043,True
places365,accuracy_epoch_1,nn_max_depth,1699,0.083883,0.0,0.084019,0.000527,0.084019,0.0,True,0.0008395655172413793,True
