dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
imagenette,accuracy_epoch_50,nn_has_attention,620,0.208343,0.0,-0.190253,2e-06,0.190253,0.0,True,3.637795275590551e-06,True
cifar-100,accuracy_epoch_50,prm__lr,395,0.207841,0.0,0.37764,0.0,0.37764,0.0,True,0.0,True
imagenette,accuracy_epoch_50,nn_dropout_count,620,0.206752,0.0,0.085072,0.034187,0.085072,0.0,True,0.04564853757225434,True
cifar-100,accuracy_epoch_5,nn_dropout_count,15252,0.196882,0.0,0.180557,0.0,0.180557,0.0,True,0.0,True
imagenette,accuracy_epoch_50,nn_flops,620,0.195669,0.0,0.327881,0.0,0.327881,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_total_params,1089,0.195224,0.0,0.198469,0.0,0.198469,0.0,True,0.0,True
mnist,accuracy_epoch_5,prm__batch,16547,0.194121,0.0,-0.115835,0.0,0.115835,0.0,True,0.0,True
places365,accuracy_epoch_5,nn_dropout_count,1089,0.189879,0.0,0.218122,0.0,0.218122,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_max_depth,13783,0.188331,0.0,-0.200078,0.0,0.200078,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_total_params,21301,0.185172,0.0,0.193557,0.0,0.193557,0.0,True,0.0,True
cifar-100,accuracy_epoch_1,nn_total_params,20879,0.179406,0.0,-0.161664,0.0,0.161664,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_dropout_count,21301,0.177499,0.0,0.18134,0.0,0.18134,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_max_depth,16467,0.176115,0.0,-0.250779,0.0,0.250779,0.0,True,0.0,True
imagenette,accuracy_epoch_1,nn_max_depth,17978,0.175708,0.0,0.12534,0.0,0.12534,0.0,True,0.0,True
imagenette,accuracy_epoch_50,prm__lr,639,0.175166,0.0,0.342317,0.0,0.342317,0.0,True,0.0,True
cifar-100,accuracy_epoch_5,prm__lr,15347,0.174944,0.0,0.336448,0.0,0.336448,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_total_layers,16467,0.171785,0.0,0.136399,0.0,0.136399,0.0,True,0.0,True
celeba-gender,accuracy_epoch_1,prm__lr,14388,0.169214,0.0,0.34541,0.0,0.34541,0.0,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_max_depth,14265,0.168687,0.0,0.186712,0.0,0.186712,0.0,True,0.0,True
cifar-10,accuracy_epoch_1,nn_total_params,42577,0.166833,0.0,-0.069609,0.0,0.069609,0.0,True,0.0,True
mnist,accuracy_epoch_50,nn_total_layers,448,0.165443,0.0,0.236381,0.0,0.236381,0.0,True,0.0,True
mnist,accuracy_epoch_1,prm__lr,21395,0.164787,0.0,0.359819,0.0,0.359819,0.0,True,0.0,True
mnist,accuracy_epoch_5,prm__lr,16547,0.164686,0.0,0.417153,0.0,0.417153,0.0,True,0.0,True
mnist,accuracy_epoch_50,nn_flops,448,0.16432,0.0,0.294242,0.0,0.294242,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,nn_total_layers,25116,0.162026,0.0,0.269196,0.0,0.269196,0.0,True,0.0,True
imagenette,accuracy_epoch_1,prm__lr,18088,0.161346,0.0,0.013925,0.061105,0.013925,0.0,True,0.07841808333333333,False
