dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman
celeba-gender,accuracy_epoch_5,prm__lr,9734,0.2905,0.004975,0.466612,0.0,0.466612
celeba-gender,accuracy_epoch_5,nn_dropout_count,9640,0.177453,0.004975,-0.116017,0.0,0.116017
celeba-gender,accuracy_epoch_5,nn_total_params,9640,0.127606,0.004975,-0.096565,0.0,0.096565
celeba-gender,accuracy_epoch_5,nn_max_depth,9640,0.121098,0.004975,0.119757,0.0,0.119757
celeba-gender,accuracy_epoch_5,nn_total_layers,9640,0.116442,0.004975,0.088794,0.0,0.088794
celeba-gender,accuracy_epoch_5,prm__batch,9734,0.100765,0.004975,-0.299749,0.0,0.299749
celeba-gender,accuracy_epoch_5,nn_flops,9640,0.09406,0.004975,0.049281,1e-06,0.049281
celeba-gender,accuracy_epoch_5,prm__dropout,8355,0.063697,0.691542,0.002683,0.806278,0.002683
celeba-gender,accuracy_epoch_5,prm__momentum,9734,0.059069,0.915423,0.030411,0.002693,0.030411
celeba-gender,accuracy_epoch_5,nn_has_residual,9640,0.055496,0.004975,0.059452,0.0,0.059452
celeba-gender,accuracy_epoch_5,nn_has_attention,9640,0.016181,1.0,0.011668,0.252004,0.011668
