complexity,loss,equation,score,sympy_format,lambda_format
1,0.030724393,0.33120745,0.0,0.331207450000000,PySRFunction(X=>0.331207450000000)
4,0.025510987,log(nn_total_layers) * 0.07643737,0.06198255908102122,0.07643737*log(nn_total_layers),PySRFunction(X=>0.07643737*log(nn_total_layers))
6,0.025082273,(sqrt(nn_total_layers) * 0.012368037) + 0.20644553,0.008473940236328706,0.012368037*sqrt(nn_total_layers) + 0.20644553,PySRFunction(X=>0.012368037*sqrt(nn_total_layers) + 0.20644553)
7,0.02493299,sqrt(sqrt(nn_total_layers / nn_max_depth)) * 0.15423723,0.0059695154780842015,0.15423723*(nn_total_layers/nn_max_depth)**(1/4),PySRFunction(X=>0.15423723*(nn_total_layers/nn_max_depth)**(1/4))
8,0.024897682,sqrt(sqrt(nn_total_layers / sqrt(nn_max_depth))) * 0.12893736,0.0014171193962173392,0.12893736*(nn_total_layers/sqrt(nn_max_depth))**(1/4),PySRFunction(X=>0.12893736*(nn_total_layers/sqrt(nn_max_depth))**(1/4))
9,0.024661064,sqrt(nn_has_residual + sqrt(nn_total_layers / nn_max_depth)) * 0.15212773,0.009549063165987002,0.15212773*sqrt(nn_has_residual + sqrt(nn_total_layers/nn_max_depth)),PySRFunction(X=>0.15212773*sqrt(nn_has_residual + sqrt(nn_total_layers/nn_max_depth)))
11,0.024368796,((-0.48406866 ^ nn_max_depth) + sqrt(sqrt(nn_total_layers / nn_max_depth))) * 0.15549564,0.005961091095670556,-0.15549564*0.48406866**nn_max_depth + 0.15549564*(nn_total_layers/nn_max_depth)**(1/4),PySRFunction(X=>-0.15549564*0.48406866**nn_max_depth + 0.15549564*(nn_total_layers/nn_max_depth)**(1/4))
12,0.023745308,log(sqrt(sqrt(log(abs((nn_total_layers / (nn_max_depth - 2.3571553)) - nn_total_layers))))),0.02591850834171033,log(log(Abs(nn_total_layers - nn_total_layers/(nn_max_depth - 2.3571553)))**(1/4)),PySRFunction(X=>log(log(Abs(nn_total_layers - nn_total_layers/(nn_max_depth - 2.3571553)))**(1/4)))
13,0.023671374,log(sqrt(log(sqrt((nn_total_layers / abs(nn_max_depth + -1.5680488)) + square(nn_max_depth))))),0.003118483065388171,log(sqrt(log(sqrt(nn_max_depth**2 + nn_total_layers/Abs(nn_max_depth - 1.5680488))))),PySRFunction(X=>log(sqrt(log(sqrt(nn_max_depth**2 + nn_total_layers/Abs(nn_max_depth - 1.5680488))))))
14,0.023567183,log(sqrt(sqrt(log(abs(nn_total_layers - (nn_total_layers / ((nn_has_residual + nn_max_depth) - 2.3739238))))))),0.004411276532323631,log(log(Abs(nn_total_layers - nn_total_layers/(nn_has_residual + nn_max_depth - 2.3739238)))**(1/4)),PySRFunction(X=>log(log(Abs(nn_total_layers - nn_total_layers/(nn_has_residual + nn_max_depth - 2.3739238)))**(1/4)))
