dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman
svhn,accuracy_epoch_50,prm__lr,643,0.306113,0.004975,0.340481,0.0,0.340481
svhn,accuracy_epoch_50,nn_dropout_count,637,0.210682,0.004975,-0.004294,0.913867,0.004294
svhn,accuracy_epoch_50,nn_total_params,637,0.196063,0.004975,0.07312,0.065138,0.07312
svhn,accuracy_epoch_50,nn_total_layers,637,0.189495,0.004975,0.102067,0.009945,0.102067
svhn,accuracy_epoch_50,nn_flops,637,0.186749,0.004975,0.136053,0.000575,0.136053
svhn,accuracy_epoch_50,nn_max_depth,637,0.186469,0.004975,0.006167,0.876547,0.006167
svhn,accuracy_epoch_50,prm__momentum,643,0.161982,0.119403,-0.001764,0.9644,0.001764
svhn,accuracy_epoch_50,prm__batch,643,0.157952,0.024876,-0.169506,1.6e-05,0.169506
svhn,accuracy_epoch_50,prm__dropout,466,0.151744,0.746269,0.035181,0.448664,0.035181
svhn,accuracy_epoch_50,nn_has_residual,637,0.13627,0.283582,0.028167,0.477919,0.028167
svhn,accuracy_epoch_50,nn_has_attention,637,0.054399,0.925373,-0.058213,0.142216,0.058213
