iterations,train_r2_mean,train_r2_std,val_r2_mean,val_r2_std,gap,best_stage
50,0.3048011872592875,0.04326558997556986,0.2505096049887969,0.13523313302825285,0.054291582270490635,Stage2_top5
100,0.32639270506714224,0.04387622089769344,0.23503570758907766,0.14908846860980762,0.09135699747806458,Stage1_top3
150,0.3408223080292845,0.03786652997774635,0.25118898036739407,0.15539082605103666,0.08963332766189042,Stage2_top5
200,0.32728945531965836,0.05817876874286107,0.25793843500428865,0.14124901619359792,0.06935102031536972,Stage2_top5
250,0.32897736767131086,0.061468854273175236,0.2593190273582007,0.14562822926610672,0.06965834031311013,Stage2_top5
300,0.32987485656581983,0.06196869612225143,0.25987023053536246,0.14827473088603776,0.07000462603045737,Stage2_top5
400,0.3408690039508622,0.05462801723858055,0.27893269942413046,0.15415731859337245,0.06193630452673177,Stage1_top3
500,0.34609638078402305,0.07166899193412528,0.29507273129230505,0.15722740019352074,0.051023649491718004,Stage2_top5
