iterations,train_r2_mean,train_r2_std,val_r2_mean,val_r2_std,gap,best_stage
50,0.22150151389279743,0.009581480906259513,,,,Stage1_top3
100,0.22362430408163023,0.01052202475674897,0.20202241926540881,0.034202109101458364,0.02160188481622141,Stage1_top3
150,0.231449939054209,0.01566621694920157,0.20470364031553867,0.032106038084130345,0.02674629873867032,Stage1_top3
200,0.23293708502199378,0.01694473902754096,0.20953991586732248,0.034407629894864074,0.0233971691546713,Stage1_top3
250,0.2329147779120802,0.01713269427974125,0.20637474086414692,0.032610273006603324,0.026540037047933285,Stage1_top3
300,0.23156594854232698,0.018117810467368354,0.20536668734137428,0.03259260654966773,0.0261992612009527,Stage1_top3
400,0.2316828512020866,0.018156222157562123,0.20398375729249843,0.033792269682085575,0.027699093909588163,Stage1_top3
500,0.23173490151873527,0.018077994400356456,0.2076946728980258,0.0324921231418715,0.02404022862070948,Stage1_top3
