precision,task_dir,model_name,device,soc,os_version,valid,iterations,in0,in1,in2,in3,cpu_dur,cpu_min,cpu_max,cpu_std,gpu_dur,gpu_min,gpu_max,gpu_std,npu_dur,npu_min,npu_max,npu_std
fp32,img-classification_cifar-10_acc_unq-7fd93783cbea58ad0b62bfbc1e522cd9,unq-7fd93783cbea58ad0b62bfbc1e522cd9,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,256,256,3,883368000.0,699830000.0,1098277000.0,111782000.0,550609000.0,546461000.0,556365000.0,2325000.0,547808000.0,546749000.0,550872000.0,942000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,64,64,3,83760700.0,59001000.0,149909000.0,31266000.0,10341600.0,10252000.0,10578000.0,52000.0,10246800.0,10189000.0,10632000.0,63000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,64,64,3,96351700.0,84066000.0,124836000.0,13343000.0,52751700.0,51488000.0,53295000.0,494000.0,53942100.0,52791000.0,56647000.0,1012000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,64,64,3,38875600.0,32832000.0,63752000.0,7512000.0,6043900.0,5862000.0,9357000.0,634000.0,6097550.0,5870000.0,11530000.0,942000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,64,64,3,70320600.0,54149000.0,78619000.0,8104000.0,23779800.0,23522000.0,24476000.0,230000.0,23581400.0,23453000.0,23715000.0,69000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,64,64,3,74245900.0,48739000.0,168855000.0,39755000.0,10383400.0,10293000.0,10480000.0,43000.0,10292600.0,10187000.0,10532000.0,65000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,29,29,3,302129000.0,230671000.0,350571000.0,28880000.0,18966100.0,18381000.0,20091000.0,366000.0,18427900.0,18226000.0,18763000.0,111000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,29,29,3,345952000.0,333122000.0,377409000.0,9838000.0,101828000.0,100456000.0,103263000.0,1155000.0,102961000.0,101867000.0,104312000.0,1001000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,29,29,3,312788000.0,222860000.0,402715000.0,89927000.0,19891000.0,19599000.0,20157000.0,142000.0,16652099.0,16528000.0,17483000.0,160000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,29,29,3,247429000.0,211127000.0,284970000.0,13914000.0,41836800.0,41331000.0,42693000.0,445000.0,42271700.0,40918000.0,44134000.0,925000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,29,29,3,273741000.0,143463000.0,339235000.0,51565000.0,18590200.0,18448000.0,19295000.0,155000.0,18564200.0,18431000.0,18754000.0,87000.0
fp32,img-classification_cifar-10_acc_unq-95963457ad99969046919a88455ed17c,unq-95963457ad99969046919a88455ed17c,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,29,29,3,130957000.0,84786000.0,192055000.0,24165000.0,8840250.0,8738000.0,9242000.0,84000.0,8968270.0,8864000.0,9098000.0,48000.0
fp32,img-classification_cifar-10_acc_unq-95963457ad99969046919a88455ed17c,unq-95963457ad99969046919a88455ed17c,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,29,29,3,153214000.0,141632000.0,161041000.0,6061000.0,46768600.0,44946000.0,48871000.0,1424000.0,47156500.0,45900000.0,47942000.0,553000.0
fp32,img-classification_cifar-10_acc_unq-95963457ad99969046919a88455ed17c,unq-95963457ad99969046919a88455ed17c,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,29,29,3,108081000.0,66347000.0,248965000.0,70554000.0,5116990.0,5056000.0,5540000.0,54000.0,5157090.0,5086000.0,5621000.0,59000.0
fp32,img-classification_cifar-10_acc_unq-95963457ad99969046919a88455ed17c,unq-95963457ad99969046919a88455ed17c,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,29,29,3,116580000.0,104787000.0,138407000.0,7875000.0,19717700.0,19093000.0,20506000.0,381000.0,19743700.0,19020000.0,20460000.0,364000.0
fp32,img-classification_cifar-10_acc_unq-95963457ad99969046919a88455ed17c,unq-95963457ad99969046919a88455ed17c,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,29,29,3,124713000.0,81481000.0,156344000.0,14819000.0,9022910.0,8926000.0,9495000.0,84000.0,9162870.0,9046000.0,9440000.0,79000.0
fp32,img-classification_cifar-10_acc_unq-e44ae24011ab6ce02881cea9e1fd8422,unq-e44ae24011ab6ce02881cea9e1fd8422,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,30,30,3,198769000.0,160975000.0,227735000.0,19468000.0,12978700.0,12876000.0,13313000.0,85000.0,13058200.0,12898000.0,14344000.0,233000.0
fp32,img-classification_cifar-10_acc_unq-e44ae24011ab6ce02881cea9e1fd8422,unq-e44ae24011ab6ce02881cea9e1fd8422,STK-L21,,10 | HUAWEISTK-L21,False,20,1,30,30,3,,,,,,,,,,,,
fp32,img-classification_cifar-10_acc_unq-e44ae24011ab6ce02881cea9e1fd8422,unq-e44ae24011ab6ce02881cea9e1fd8422,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,30,30,3,192419000.0,107232000.0,357122000.0,116485000.0,7347200.0,7280000.0,7771000.0,60000.0,7433850.0,7344000.0,7870000.0,91000.0
fp32,img-classification_cifar-10_acc_unq-e44ae24011ab6ce02881cea9e1fd8422,unq-e44ae24011ab6ce02881cea9e1fd8422,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,30,30,3,168287000.0,145818000.0,193259000.0,9187000.0,28824100.0,28144000.0,29950000.0,416000.0,28898000.0,27986000.0,30316000.0,694000.0
fp32,img-classification_cifar-10_acc_unq-e44ae24011ab6ce02881cea9e1fd8422,unq-e44ae24011ab6ce02881cea9e1fd8422,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,30,30,3,195277000.0,124919000.0,243582000.0,27622000.0,13197400.0,12999000.0,13423000.0,105000.0,12939300.0,12828000.0,13114000.0,69000.0
fp32,img-classification_cifar-10_acc_unq-3a20b23759f6d4cd69fc83a604492f9e,unq-3a20b23759f6d4cd69fc83a604492f9e,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,64,64,3,477868000.0,439418000.0,518524000.0,20575000.0,34913500.0,34791000.0,35226000.0,103000.0,34974500.0,34884000.0,35177000.0,66000.0
fp32,img-classification_cifar-10_acc_unq-3a20b23759f6d4cd69fc83a604492f9e,unq-3a20b23759f6d4cd69fc83a604492f9e,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,64,64,3,452477000.0,428898000.0,472036000.0,10582000.0,197156000.0,194453000.0,202306000.0,3642000.0,198872000.0,198265000.0,199574000.0,538000.0
fp32,img-classification_cifar-10_acc_unq-3a20b23759f6d4cd69fc83a604492f9e,unq-3a20b23759f6d4cd69fc83a604492f9e,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,64,64,3,269332000.0,222637000.0,316028000.0,46695000.0,21778600.0,21625000.0,22186000.0,132000.0,21713500.0,21610000.0,21819000.0,53000.0
fp32,img-classification_cifar-10_acc_unq-3a20b23759f6d4cd69fc83a604492f9e,unq-3a20b23759f6d4cd69fc83a604492f9e,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,64,64,3,398672000.0,352389000.0,418572000.0,13378000.0,85526300.0,84931000.0,85978000.0,333000.0,113658000.0,113276000.0,114108000.0,313000.0
fp32,img-classification_cifar-10_acc_unq-3a20b23759f6d4cd69fc83a604492f9e,unq-3a20b23759f6d4cd69fc83a604492f9e,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,64,64,3,401798000.0,98203000.0,518516000.0,116845000.0,35174200.0,35011000.0,36071000.0,247000.0,35328300.0,34950000.0,36155000.0,366000.0
fp32,img-classification_cifar-10_acc_unq-62c4c2db449411c0d0ba1e3689f6bef2,unq-62c4c2db449411c0d0ba1e3689f6bef2,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,29,29,3,25659100.0,15706000.0,64587000.0,10998000.0,2687340.0,2641000.0,3006000.0,51000.0,2674470.0,2632000.0,2936000.0,47000.0
fp32,img-classification_cifar-10_acc_unq-62c4c2db449411c0d0ba1e3689f6bef2,unq-62c4c2db449411c0d0ba1e3689f6bef2,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,29,29,3,38504600.0,33265000.0,73435000.0,10179000.0,14090100.0,13130000.0,15325000.0,388000.0,14498100.0,13292000.0,15262000.0,421000.0
fp32,img-classification_cifar-10_acc_unq-62c4c2db449411c0d0ba1e3689f6bef2,unq-62c4c2db449411c0d0ba1e3689f6bef2,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,29,29,3,11552600.0,9750000.0,40458000.0,4589000.0,1503270.0,1451000.0,2569000.0,168000.0,1509810.0,1455000.0,2798000.0,182000.0
