precision,n_subsample,reps,channel,backend,soc,R2_full,mean,bias,sd,p05,p95,range90,min,max,n_fail
int8,50,300,SM-F926B / GPU,GPU,SD888,0.9892,0.9896,0.0004,0.0071,0.9768,0.9969,0.0201,0.9497,0.9973,0
int8,50,300,23106RN0DA / GPU,GPU,HelioMT6768,0.9849,0.983,-0.0019,0.0064,0.9691,0.9914,0.0222,0.9581,0.9954,0
int8,50,300,Redmi Note 9 Pro / GPU,GPU,SD720G,0.9856,0.9867,0.001,0.0093,0.9699,0.996,0.0261,0.9407,0.9966,0
int8,50,300,SM-P613 / GPU,GPU,SD720G,0.9849,0.9858,0.0009,0.0096,0.9682,0.9958,0.0275,0.9441,0.9966,0
int8,50,300,STK-L21 / GPU,GPU,Kirin710,0.92,0.9191,-0.0008,0.0295,0.872,0.9615,0.0895,0.7889,0.9828,0
int8,100,300,SM-F926B / CPU,CPU,SD888,0.989,0.9876,-0.0014,0.0056,0.9763,0.9946,0.0183,0.9656,0.9958,0
int8,100,300,23106RN0DA / CPU,CPU,HelioMT6768,0.9934,0.9921,-0.0014,0.005,0.9825,0.997,0.0145,0.9665,0.9974,0
int8,100,300,Redmi Note 9 Pro / CPU,CPU,SD720G,0.9844,0.9822,-0.0022,0.0087,0.9636,0.9917,0.0281,0.9362,0.9952,0
int8,100,300,SM-P613 / CPU,CPU,SD720G,0.9847,0.9825,-0.0023,0.0086,0.964,0.992,0.0281,0.937,0.9954,0
int8,100,300,STK-L21 / CPU,CPU,Kirin710,0.9075,0.9075,-0.0,0.0211,0.8688,0.938,0.0692,0.8368,0.9608,0
int8,100,300,SM-F926B / GPU,GPU,SD888,0.9892,0.9899,0.0007,0.0048,0.982,0.9962,0.0143,0.9722,0.9971,0
int8,100,300,23106RN0DA / GPU,GPU,HelioMT6768,0.9849,0.9842,-0.0007,0.0044,0.9756,0.9896,0.014,0.9609,0.9916,0
int8,100,300,Redmi Note 9 Pro / GPU,GPU,SD720G,0.9856,0.9868,0.0011,0.0066,0.9756,0.9956,0.02,0.9665,0.9961,0
int8,100,300,SM-P613 / GPU,GPU,SD720G,0.9849,0.986,0.0012,0.0068,0.9748,0.9954,0.0206,0.9644,0.996,0
int8,100,300,STK-L21 / GPU,GPU,Kirin710,0.92,0.9202,0.0002,0.0174,0.8891,0.9452,0.0561,0.8583,0.9662,0
int8,200,300,SM-F926B / CPU,CPU,SD888,0.989,0.9874,-0.0016,0.004,0.979,0.9924,0.0135,0.9752,0.995,0
int8,200,300,23106RN0DA / CPU,CPU,HelioMT6768,0.9934,0.9923,-0.0011,0.0031,0.9861,0.9958,0.0097,0.9814,0.9972,0
int8,200,300,Redmi Note 9 Pro / CPU,CPU,SD720G,0.9844,0.9816,-0.0028,0.0064,0.9675,0.988,0.0205,0.9606,0.992,0
int8,200,300,SM-P613 / CPU,CPU,SD720G,0.9847,0.982,-0.0028,0.0063,0.9683,0.9885,0.0202,0.9609,0.992,0
int8,200,300,STK-L21 / CPU,CPU,Kirin710,0.9075,0.9076,0.0001,0.0124,0.8882,0.9265,0.0383,0.8622,0.9534,0
int8,200,300,SM-F926B / GPU,GPU,SD888,0.9892,0.9902,0.001,0.0034,0.9855,0.9959,0.0104,0.9818,0.9966,0
int8,200,300,23106RN0DA / GPU,GPU,HelioMT6768,0.9849,0.9838,-0.0011,0.0029,0.978,0.9876,0.0097,0.9724,0.9894,0
int8,200,300,Redmi Note 9 Pro / GPU,GPU,SD720G,0.9856,0.9872,0.0015,0.0046,0.9812,0.9953,0.0141,0.9771,0.9958,0
int8,200,300,SM-P613 / GPU,GPU,SD720G,0.9849,0.9865,0.0016,0.0047,0.9801,0.9952,0.015,0.9759,0.9956,0
int8,200,300,STK-L21 / GPU,GPU,Kirin710,0.92,0.919,-0.001,0.0105,0.9005,0.9351,0.0347,0.8894,0.9483,0
