dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman
cifar-10,accuracy_epoch_1,nn_total_layers,42577,0.279373,0.004975,0.285559,0.0,0.285559
cifar-10,accuracy_epoch_1,prm__lr,42783,0.259233,0.004975,0.015397,0.001449,0.015397
cifar-10,accuracy_epoch_1,prm__momentum,42783,0.228291,0.004975,0.371705,0.0,0.371705
cifar-10,accuracy_epoch_1,prm__batch,42783,0.21486,0.004975,-0.305918,0.0,0.305918
cifar-10,accuracy_epoch_1,nn_max_depth,42577,0.210018,0.004975,0.345925,0.0,0.345925
cifar-10,accuracy_epoch_1,nn_total_params,42577,0.206941,0.004975,-0.069609,0.0,0.069609
cifar-10,accuracy_epoch_1,nn_flops,42577,0.191584,0.004975,0.271203,0.0,0.271203
cifar-10,accuracy_epoch_1,prm__dropout,32938,0.174065,0.004975,-0.085377,0.0,0.085377
cifar-10,accuracy_epoch_1,nn_has_residual,42577,0.161702,0.004975,0.258067,0.0,0.258067
cifar-10,accuracy_epoch_1,nn_dropout_count,42577,0.102258,0.004975,-0.132924,0.0,0.132924
cifar-10,accuracy_epoch_1,nn_has_attention,42577,0.014313,1.0,-0.026103,0.0,0.026103
