dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
svhn,accuracy_epoch_1,nn_total_params,23098,0.203245,0.004975,-0.012891,0.05009,0.012891,0.008512777777777779,True,0.06500443820224719,False
celeba-gender,accuracy_epoch_50,nn_total_params,405,0.198407,0.0199,0.063627,0.20132,0.063627,0.03192291666666667,True,0.23487333333333332,False
celeba-gender,accuracy_epoch_50,prm__batch,413,0.197425,0.014925,-0.236768,1e-06,0.236768,0.024109615384615386,True,1.8780487804878048e-06,True
places365,accuracy_epoch_5,nn_total_params,1089,0.197272,0.004975,0.198469,0.0,0.198469,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_50,nn_total_params,637,0.196063,0.004975,0.07312,0.065138,0.07312,0.008512777777777779,True,0.0831319226519337,False
cifar-10,accuracy_epoch_5,nn_total_params,25116,0.195971,0.004975,0.308434,0.0,0.308434,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_dropout_count,16467,0.19516,0.004975,0.390802,0.0,0.390802,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,nn_has_attention,620,0.193977,0.004975,-0.190253,2e-06,0.190253,0.008512777777777779,True,3.637795275590551e-06,True
cifar-10,accuracy_epoch_1,nn_flops,42577,0.191584,0.004975,0.271203,0.0,0.271203,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,nn_dropout_count,620,0.191489,0.004975,0.085072,0.034187,0.085072,0.008512777777777779,True,0.04564853757225434,True
svhn,accuracy_epoch_1,nn_max_depth,23098,0.19036,0.004975,0.070054,0.0,0.070054,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,prm__lr,21395,0.189875,0.004975,0.359819,0.0,0.359819,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,prm__lr,13879,0.189801,0.004975,0.220894,0.0,0.220894,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_50,nn_total_layers,637,0.189495,0.004975,0.102067,0.009945,0.102067,0.008512777777777779,True,0.014180833333333333,True
mnist,accuracy_epoch_50,nn_dropout_count,448,0.187182,0.00995,0.13155,0.005291,0.13155,0.016301063829787237,True,0.007735575949367089,True
svhn,accuracy_epoch_50,nn_flops,637,0.186749,0.004975,0.136053,0.000575,0.136053,0.008512777777777779,True,0.0009097602739726028,True
svhn,accuracy_epoch_50,nn_max_depth,637,0.186469,0.004975,0.006167,0.876547,0.006167,0.008512777777777779,True,0.9039390937499999,False
celeba-gender,accuracy_epoch_1,nn_total_params,14265,0.183039,0.004975,-0.166284,0.0,0.166284,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_flops,25116,0.182465,0.004975,0.237195,0.0,0.237195,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,prm__lr,14388,0.181579,0.004975,0.34541,0.0,0.34541,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_total_layers,16467,0.181404,0.004975,0.136399,0.0,0.136399,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,nn_has_attention,448,0.180171,0.004975,-0.214361,5e-06,0.214361,0.008512777777777779,True,8.884615384615385e-06,True
celeba-gender,accuracy_epoch_5,nn_dropout_count,9640,0.177453,0.004975,-0.116017,0.0,0.116017,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_1,nn_total_layers,23098,0.174605,0.004975,0.079705,0.0,0.079705,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_1,prm__dropout,32938,0.174065,0.004975,-0.085377,0.0,0.085377,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_flops,16467,0.174028,0.004975,0.193725,0.0,0.193725,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,nn_has_attention,387,0.173454,0.029851,-0.164638,0.001152,0.164638,0.045666099337748345,True,0.0017740800000000001,True
places365,accuracy_epoch_5,nn_dropout_count,1089,0.169032,0.004975,0.218122,0.0,0.218122,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_5,nn_flops,1089,0.166115,0.004975,0.142878,2e-06,0.142878,0.008512777777777779,True,3.637795275590551e-06,True
svhn,accuracy_epoch_5,nn_total_params,17631,0.164732,0.004975,-0.066256,0.0,0.066256,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_1,nn_has_residual,42577,0.161702,0.004975,0.258067,0.0,0.258067,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_max_depth,14265,0.161051,0.004975,0.186712,0.0,0.186712,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_50,prm__batch,643,0.157952,0.024876,-0.169506,1.6e-05,0.169506,0.038826729729729725,True,2.7789473684210523e-05,True
celeba-gender,accuracy_epoch_1,nn_total_layers,14265,0.156076,0.004975,0.071926,0.0,0.071926,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_5,prm__lr,17729,0.151857,0.004975,0.294885,0.0,0.294885,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_5,nn_max_depth,17631,0.151113,0.004975,0.141219,0.0,0.141219,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_total_params,13783,0.149851,0.004975,0.302244,0.0,0.302244,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_5,nn_total_layers,1089,0.144145,0.029851,0.020757,0.493803,0.020757,0.045666099337748345,True,0.5355328309859155,False
