dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
cifar-10,accuracy_epoch_1,nn_has_attention,42577,0.014313,1.0,-0.026103,0.0,0.026103,1.0,False,0.0,True
cifar-10,accuracy_epoch_5,prm__lr,25260,0.206885,0.004975,0.318795,0.0,0.318795,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_total_params,25116,0.195971,0.004975,0.308434,0.0,0.308434,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_flops,25116,0.182465,0.004975,0.237195,0.0,0.237195,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_total_layers,25116,0.134959,0.004975,0.269196,0.0,0.269196,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,prm__dropout,16511,0.093256,0.004975,-0.024398,0.001717,0.024398,0.008512777777777779,True,0.002592333333333333,True
cifar-10,accuracy_epoch_5,prm__momentum,25260,0.084321,0.004975,0.138207,0.0,0.138207,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,prm__batch,25260,0.074018,0.004975,-0.210498,0.0,0.210498,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_dropout_count,25116,0.065886,0.004975,0.140719,0.0,0.140719,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_max_depth,25116,0.046161,1.0,0.024949,7.7e-05,0.024949,1.0,False,0.00013078676470588236,True
cifar-10,accuracy_epoch_5,nn_has_residual,25116,0.038491,1.0,0.035563,0.0,0.035563,1.0,False,0.0,True
cifar-10,accuracy_epoch_5,nn_has_attention,25116,0.021679,1.0,-0.048393,0.0,0.048393,1.0,False,0.0,True
cifar-10,accuracy_epoch_50,nn_total_params,2039,0.58285,0.004975,0.454249,0.0,0.454249,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_flops,2039,0.517254,0.004975,0.528872,0.0,0.528872,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_total_layers,2039,0.44839,0.004975,0.347676,0.0,0.347676,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,prm__dropout,600,0.166608,0.159204,0.105181,0.009932,0.105181,0.21890550000000003,False,0.014180833333333333,True
cifar-10,accuracy_epoch_50,prm__batch,2106,0.143147,0.004975,-0.19292,0.0,0.19292,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_max_depth,2039,0.142314,0.004975,0.185578,0.0,0.185578,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,prm__lr,2106,0.140575,0.004975,0.125154,0.0,0.125154,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_dropout_count,2039,0.133905,0.004975,0.019414,0.380922,0.019414,0.008512777777777779,True,0.4250868695652174,False
cifar-10,accuracy_epoch_50,prm__momentum,2106,0.125776,0.004975,0.068089,0.001769,0.068089,0.008512777777777779,True,0.0026535,True
cifar-10,accuracy_epoch_50,nn_has_residual,2039,0.114076,0.00995,0.028534,0.197774,0.028534,0.016301063829787237,True,0.2330907857142857,False
cifar-10,accuracy_epoch_50,nn_has_attention,2039,0.084022,0.004975,-0.118952,0.0,0.118952,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,prm__lr,20991,0.108925,0.004975,0.177219,0.0,0.177219,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_total_params,20879,0.080686,0.004975,-0.161664,0.0,0.161664,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,prm__batch,20991,0.077727,0.004975,-0.288057,0.0,0.288057,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_max_depth,20879,0.076851,0.004975,0.217091,0.0,0.217091,0.008512777777777779,True,0.0,True
