complexity,loss,equation,score,sympy_format,lambda_format
1,0.027461525,0.56775516,0.0,0.567755160000000,PySRFunction(X=>0.567755160000000)
4,0.026181538,abs(nn_has_attention + -0.5766523),0.015910476076825823,Abs(nn_has_attention - 0.5766523),PySRFunction(X=>Abs(nn_has_attention - 0.5766523))
5,0.024657836,0.6329141 - (1.8797972 / nn_total_layers),0.05995976545266459,0.6329141 - 1.8797972/nn_total_layers,PySRFunction(X=>0.6329141 - 1.8797972/nn_total_layers)
6,0.024533747,0.61111605 / exp(0.90271175 ^ nn_total_layers),0.0050451421011493205,0.61111605/exp(0.90271175**nn_total_layers),PySRFunction(X=>0.61111605/exp(0.90271175**nn_total_layers))
7,0.023903621,0.6329141 - ((nn_dropout_count ^ nn_has_attention) / nn_total_layers),0.026019644599913523,0.6329141 - nn_dropout_count**nn_has_attention/nn_total_layers,PySRFunction(X=>0.6329141 - nn_dropout_count**nn_has_attention/nn_total_layers)
8,0.022344798,0.6329141 - abs((-2.3018358 + nn_dropout_count) / nn_total_layers),0.06743641144684885,0.6329141 - Abs((nn_dropout_count - 2.3018358)/nn_total_layers),PySRFunction(X=>0.6329141 - Abs((nn_dropout_count - 2.3018358)/nn_total_layers))
10,0.022293739,0.6361848 ^ (nn_has_attention + exp(0.9474935 ^ (nn_dropout_count + nn_total_layers))),0.0011438327888689077,0.6361848**(nn_has_attention + exp(0.9474935**(nn_dropout_count + nn_total_layers))),PySRFunction(X=>0.6361848**(nn_has_attention + exp(0.9474935**(nn_dropout_count + nn_total_layers))))
11,0.022180166,0.63653326 ^ (exp(0.949689 ^ (nn_total_layers + square(nn_dropout_count))) + nn_has_attention),0.005107410598879735,0.63653326**(nn_has_attention + exp(0.949689**(nn_dropout_count**2 + nn_total_layers))),PySRFunction(X=>0.63653326**(nn_has_attention + exp(0.949689**(nn_dropout_count**2 + nn_total_layers))))
12,0.021921793,0.63837886 ^ (exp((0.69633776 ^ nn_dropout_count) * (0.957017 ^ nn_total_layers)) + nn_has_attention),0.01171720993439087,0.63837886**(nn_has_attention + exp(0.69633776**nn_dropout_count*0.957017**nn_total_layers)),PySRFunction(X=>0.63837886**(nn_has_attention + exp(0.69633776**nn_dropout_count*0.957017**nn_total_layers)))
13,0.021910826,0.6387395 ^ (exp((0.9573351 ^ nn_total_layers) * (0.5947733 ^ sqrt(nn_dropout_count))) + nn_has_attention),0.0005004036025702656,0.6387395**(nn_has_attention + exp(0.5947733**(sqrt(nn_dropout_count))*0.9573351**nn_total_layers)),PySRFunction(X=>0.6387395**(nn_has_attention + exp(0.5947733**(sqrt(nn_dropout_count))*0.9573351**nn_total_layers)))
14,0.021840215,0.639635 ^ (exp((0.639635 ^ nn_dropout_count) * (0.7101969 ^ (1.0406126 ^ nn_total_layers))) + nn_has_attention),0.0032278574266777402,0.639635**(nn_has_attention + exp(0.639635**nn_dropout_count*0.7101969**(1.0406126**nn_total_layers))),PySRFunction(X=>0.639635**(nn_has_attention + exp(0.639635**nn_dropout_count*0.7101969**(1.0406126**nn_total_layers))))
15,0.021783434,(0.643031 ^ (nn_has_attention + exp(0.96407896 ^ nn_total_layers))) * (nn_dropout_count ^ (nn_dropout_count / exp(nn_dropout_count))),0.0026032224890661475,0.643031**(nn_has_attention + exp(0.96407896**nn_total_layers))*nn_dropout_count**(nn_dropout_count/exp(nn_dropout_count)),PySRFunction(X=>0.643031**(nn_has_attention + exp(0.96407896**nn_total_layers))*nn_dropout_count**(nn_dropout_count/exp(nn_dropout_count)))
16,0.021638671,(0.63444215 ^ (nn_has_attention + exp(0.95242435 ^ nn_total_layers))) * (sqrt(nn_dropout_count) ^ (nn_dropout_count / exp(nn_dropout_count))),0.006667734617225567,0.63444215**(nn_has_attention + exp(0.95242435**nn_total_layers))*nn_dropout_count**(nn_dropout_count*exp(-nn_dropout_count)/2),PySRFunction(X=>0.63444215**(nn_has_attention + exp(0.95242435**nn_total_layers))*nn_dropout_count**(nn_dropout_count*exp(-nn_dropout_count)/2))
17,0.021569224,(0.6327508 ^ (nn_has_attention + exp(0.95534986 ^ nn_total_layers))) * (nn_dropout_count ^ ((nn_dropout_count * 0.6372589) / exp(nn_dropout_count))),0.0032145541828279,0.6327508**(nn_has_attention + exp(0.95534986**nn_total_layers))*nn_dropout_count**(nn_dropout_count*0.6372589/exp(nn_dropout_count)),PySRFunction(X=>0.6327508**(nn_has_attention + exp(0.95534986**nn_total_layers))*nn_dropout_count**(nn_dropout_count*0.6372589/exp(nn_dropout_count)))
18,0.02127009,0.6548783 ^ (nn_has_attention + (0.95274276 + (((-0.45330083 ^ nn_dropout_count) + 0.64547235) * abs((0.97439003 ^ nn_total_layers) + -0.16065675)))),0.013965623346573523,0.6548783**(nn_has_attention + (0.64547235 - 0.45330083**nn_dropout_count)*Abs(0.97439003**nn_total_layers - 0.16065675) + 0.95274276),PySRFunction(X=>0.6548783**(nn_has_attention + (0.64547235 - 0.45330083**nn_dropout_count)*Abs(0.97439003**nn_total_layers - 0.16065675) + 0.95274276))
20,0.02120687,0.67175585 ^ (abs(((0.93342716 + (-0.44808638 ^ nn_dropout_count)) * ((0.9742337 ^ nn_total_layers) + -0.1609345)) + (nn_has_attention * -1.3377634)) + 0.950059),0.0014883373640803752,0.67175585**(Abs(nn_has_attention*(-1.3377634) + (0.93342716 - 0.44808638**nn_dropout_count)*(0.9742337**nn_total_layers - 0.1609345)) + 0.950059),PySRFunction(X=>0.67175585**(Abs(nn_has_attention*(-1.3377634) + (0.93342716 - 0.44808638**nn_dropout_count)*(0.9742337**nn_total_layers - 0.1609345)) + 0.950059))
22,0.021078909,0.6517339 ^ (abs(nn_has_attention + (((0.96836585 ^ nn_total_layers) + -0.098844916) * (0.34649995 - ((1.044917 ^ nn_dropout_count) + (-0.34106678 ^ nn_dropout_count))))) + 0.9424584),0.0030261093355709963,0.6517339**(Abs(nn_has_attention + (0.34649995 - (-0.34106678**nn_dropout_count + 1.044917**nn_dropout_count))*(0.96836585**nn_total_layers - 0.098844916)) + 0.9424584),PySRFunction(X=>0.6517339**(Abs(nn_has_attention + (0.34649995 - (-0.34106678**nn_dropout_count + 1.044917**nn_dropout_count))*(0.96836585**nn_total_layers - 0.098844916)) + 0.9424584))
24,0.02095896,0.6486887 ^ (abs(nn_has_attention + (((0.9676863 ^ nn_total_layers) + -0.0960231) * (0.34088475 - (((prm__batch ^ 0.010159564) ^ nn_dropout_count) + (-0.34088475 ^ nn_dropout_count))))) + 0.94543093),0.0028533636071983353,0.6486887**(Abs(nn_has_attention + (0.34088475 - (-0.34088475**nn_dropout_count + (prm__batch**0.010159564)**nn_dropout_count))*(0.9676863**nn_total_layers - 0.0960231)) + 0.94543093),PySRFunction(X=>0.6486887**(Abs(nn_has_attention + (0.34088475 - (-0.34088475**nn_dropout_count + (prm__batch**0.010159564)**nn_dropout_count))*(0.9676863**nn_total_layers - 0.0960231)) + 0.94543093))
26,0.020838551,(0.6554193 ^ ((((((0.9818802 ^ nn_total_layers) - 1.0422436) ^ (nn_dropout_count + nn_has_attention)) + 0.87156475) * abs(((0.9724984 ^ nn_total_layers) - nn_has_attention) + -0.14022878)) + 0.9818802)) + 0.01925523,0.0028807775919099344,0.6554193**(((0.9818802**nn_total_layers - 1*1.0422436)**(nn_dropout_count + nn_has_attention) + 0.87156475)*Abs(-0.9724984**nn_total_layers + nn_has_attention + 0.14022878) + 0.9818802) + 0.01925523,PySRFunction(X=>0.6554193**(((0.9818802**nn_total_layers - 1*1.0422436)**(nn_dropout_count + nn_has_attention) + 0.87156475)*Abs(-0.9724984**nn_total_layers + nn_has_attention + 0.14022878) + 0.9818802) + 0.01925523)
28,0.020838413,(0.6554193 ^ ((((((0.9818802 ^ (nn_total_layers - 0.44613707)) - 1.0422436) ^ (nn_dropout_count + nn_has_attention)) + 0.87156475) * abs(((0.9724984 ^ nn_total_layers) - nn_has_attention) + -0.14022878)) + 0.9818802)) + 0.01925523,3.3111816878407936e-06,0.6554193**(((0.9818802**(nn_total_layers - 1*0.44613707) - 1*1.0422436)**(nn_dropout_count + nn_has_attention) + 0.87156475)*Abs(-0.9724984**nn_total_layers + nn_has_attention + 0.14022878) + 0.9818802) + 0.01925523,PySRFunction(X=>0.6554193**(((0.9818802**(nn_total_layers - 1*0.44613707) - 1*1.0422436)**(nn_dropout_count + nn_has_attention) + 0.87156475)*Abs(-0.9724984**nn_total_layers + nn_has_attention + 0.14022878) + 0.9818802) + 0.01925523)
