held_out_dataset,complexity,equation,loss,train_r2,test_r2
cifar-10,25,(epoch_log/(prm__batch + 44.918064)**0.1624317)**0.7448608 - (0.84749585**(nn_total_layers - 6.1457005))**((prm__batch/44.918064 + 0.7448608)**(-0.45399)) - 0.1624317,0.8485909,,
cifar-10,26,(epoch_log/(prm__batch + 44.918064)**0.1624317)**0.7448608 - (0.84749585**(nn_total_layers - 6.1457005))**((sqrt(nn_max_depth) + 0.0222627582524483*prm__batch)**(-0.45399)) - 0.12972432,0.84836346,,
cifar-10,27,(epoch_log/(prm__batch + 44.918064)**0.1624317)**0.7448608 - (0.84749585**(nn_total_layers - 6.1457005))**((nn_max_depth + prm__batch/44.918064 - 0.5949678)**(-0.45399)) - 0.12972432,0.8479116,,
cifar-100,1,0.220475720000000,1.1868234,0.21254628238755602,0.1895841585203728
cifar-100,3,epoch_log*0.29015785,0.9345685,0.28043485032496274,0.2959494315627661
cifar-100,5,epoch_log*0.39759567 - 1*0.29496598,0.8885642,0.30429219743725666,0.3014828805267892
cifar-100,7,epoch_log*0.38340682 - 7.4495497/nn_total_layers,0.85399675,0.30919462666761155,0.3397540867179295
cifar-100,8,0.34007773*epoch_log - 0.34007773*sqrt(prm__batch)/nn_total_layers,0.83707124,0.3161390673186425,0.3471815048629603
cifar-100,9,epoch_log*0.36447558 - prm__batch**0.36881948/nn_total_layers,0.8256823,0.32336427945744484,0.3545315919864994
cifar-100,11,epoch_log*0.36447558 - (prm__batch**0.36881948 + 0.91611755)/nn_total_layers,0.8232236,0.32606710626010293,0.353574204397606
cifar-100,12,-(prm__batch/nn_total_layers**2)**(1/8) + log(epoch_log + 1.5554764),0.819864,0.3269786617691397,0.3534858368435013
cifar-100,13,-log(prm__batch**0.10377377) + log(epoch_log + 1.4527845) - 6.864031/nn_total_layers,0.8116222,0.32712699412242274,0.3511008912516925
cifar-100,15,-log(prm__batch**0.10945627)**2 + Abs(log(epoch_log + 0.8437222)) - 5.870996/nn_total_layers,0.8030472,0.3280531242174193,0.3590995193228753
cifar-100,16,sqrt(log(epoch_log + 0.8148375)**2) - log(prm__batch**0.113108166)**2 - 5.882716/nn_total_layers,0.802873,0.3281822467964256,0.35964451251391005
cifar-100,17,-log(prm__batch**0.10945627)**2 + Abs(log(epoch_log + 0.8437222)) - 5.870996/(-epoch_log + nn_total_layers),0.7998393,0.32819166625851315,0.36475819902067075
cifar-100,19,-log(0.8391564*prm__batch**0.14216943)**2 + Abs(log(epoch_log + 0.8437222)) - 5.870996/(-epoch_log + nn_total_layers),0.7987575,0.3288172953874682,0.35905237028051895
cifar-100,20,-(log(prm__batch**0.1209678) - 0.08907625)**2 + Abs(log(epoch_log + 0.8437222)) - 5.870996/(nn_total_layers - 2.24271189273299),0.7985815,,
cifar-100,21,-1.38125191431466*log(0.8391564*prm__batch**0.1209678)**2 + Abs(log(epoch_log + 0.8437222)) - 5.870996/(-epoch_log + nn_total_layers),0.79801804,,
cifar-100,22,-1.0985357*(log(prm__batch**0.12960261) - 0.18487468)**2 + sqrt(log(epoch_log + 0.85960406)**2) - 6.45845978582281/(-epoch_log + nn_total_layers),0.7974824,,
cifar-100,23,-1.0985357*(log(prm__batch**0.12960261) - 0.18487468)**2 + sqrt(log(epoch_log + 0.85960406)**2) - 6.45845978582281/(-sqrt(epoch_log) + nn_total_layers),0.7973291,,
cifar-100,24,-1.14456522465856*(log(prm__batch**0.12960261) - 0.18487468)**2 + 1.0419008*sqrt(log(epoch_log + 0.85960406)**2) - 6.72907441761661/(-epoch_log + nn_total_layers),0.79731786,,
cifar-100,27,-(log((prm__batch + log(epoch_log + 0.40046206))**0.12960261) - 0.16907927)**2 + sqrt(log(epoch_log + 0.85960406)**2) - 6.45845978582281/(-epoch_log + nn_total_layers),0.7968971,,
cifar-100,29,-1.0985357*(log((epoch_log*nn_max_depth + prm__batch - 0.85960406)**0.12960261) - 0.18487468)**2 + sqrt(log(epoch_log + 0.85960406)**2) - 6.45845978582281/(-epoch_log + nn_total_layers),0.79657537,,
imagenette,1,0.218257760000000,1.2084508,0.19985637480291585,0.2127092067244689
imagenette,3,epoch_log*0.2892375,0.9669342,0.23460168894224676,0.3218488098360476
imagenette,4,0.28929013*epoch_log,0.96693414,0.2683086417573832,0.3115367288988563
